compared_to,gp_rmse,other_rmse,pct_rmse_difference,p_value,statistically_significant,verdict
Persistence,2.2115247614098044,2.9300427923320997,-24.522441542582644,8.710775166719634e-31,True,GP BETTER (statistically)
DecisionTree,2.2115247614098044,2.9194112403549806,-24.247576674367465,2.408158166271558e-23,True,GP BETTER (statistically)
KNN,2.2115247614098044,2.4622222290511986,-10.181756329037729,1.5998690958102835e-19,True,GP BETTER (statistically)
LightGBM,2.2115247614098044,2.128694482179942,3.8911304521745134,2.951901242851696e-11,True,GP WORSE (statistically)
RandomForest,2.2115247614098044,2.121848538560776,4.226325358258357,3.645062806980929e-11,True,GP WORSE (statistically)
CatBoost,2.2115247614098044,2.120055632911724,4.3144683129119015,1.9172029300823433e-07,True,GP WORSE (statistically)
XGBoost,2.2115247614098044,2.151144496490307,2.80689023996345,0.007147547279642488,True,GP WORSE (statistically)
MLP,2.2115247614098044,2.208638699874785,0.13067150979393274,0.01991758804978223,True,GP WORSE (statistically)
LinearRegression,2.2115247614098044,2.210905239368609,0.028021193770043883,0.5128811933294599,False,NOT statistically different
BayesianRidge,2.2115247614098044,2.2098872853547364,0.07409771828272543,0.6207287653035822,False,NOT statistically different
